id,survey_year,course_mode,course_level,programme_id,programme,discipline_group_id,broad_discipline_group,discipline,appeared_female,appeared_total,passed_female,passed_total,first_class_passed_female,first_class_passed_total
572,2015,Regular,Integrated,71,"B.S. M.S.-Bachelor of Science, Master of Science",107,Other Science,Integrated,27,76,27,76,27,76
572,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,94,Chemistry,Chemistry,3,13,3,13,3,13
572,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,174,Mathematics,Mathematics and Statistics,0,1,0,1,0,1
572,2015,Regular,Integrated,86,Integrated Ph.D-Integrated Doctor of Philosophy,174,Mathematics,Mathematics,0,1,0,1,0,1
153,2015,Regular,PG Diploma,155,PG Diploma-Post Graduate Diploma,107,Other Science,Instrumentation,0,0,0,0,0,0
153,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,50,Other Indian Languages,Comparative Literature,0,0,0,0,0,0
130,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,185,Information Technology,IT,28,89,27,87,27,87
130,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,1,Agriculture,ICT in ARD,5,10,5,10,5,10
130,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,26,Other Engineering & Technology,ICT,0,8,0,8,0,8
130,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,26,Other Engineering & Technology,ICT,43,227,43,220,39,192
595,2015,Regular,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,Security Management,0,0,0,0,0,0
595,2015,Regular,PG Diploma,155,PG Diploma-Post Graduate Diploma,116,Other Social Science,Industrial Security,0,0,0,0,0,0
595,2015,Regular,Post Graduate,124,M.A.-Master of Arts,116,Other Social Science,Criminology,6,12,6,10,5,8
595,2015,Regular,Post Graduate,124,M.A.-Master of Arts,11,Defence Studies,Police Administration,0,0,0,0,0,0
595,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,19,Electrical Engineering,Cyber Security,0,0,0,0,0,0
595,2015,Regular,Post Graduate,89,L.L.M.-Master of Law or Laws,52,Law,Crime & Security Law,0,0,0,0,0,0
